kind,task,machine_selectable,process_time
0,0,"(20, 8, 18, 4)","(18, 11, 11, 16)"
0,1,"(16, 7, 14, 15, 23, 20, 8, 9, 1)","(18, 20, 13, 17, 11, 10, 13, 10, 17)"
0,2,"(9, 0, 18, 14, 4, 16, 8, 2, 7, 22, 3, 6, 20, 5, 21, 12)","(13, 17, 12, 16, 10, 17, 12, 10, 11, 14, 18, 19, 16, 17, 18, 10)"
0,3,"(11, 12, 20, 10, 7, 14, 23, 2, 6, 24, 22, 0)","(18, 12, 16, 14, 19, 13, 11, 12, 11, 14, 16, 13)"
0,4,"(24, 16, 13, 2, 20, 3, 23, 6)","(19, 14, 17, 16, 12, 15, 20, 14)"
1,0,"(21, 4, 6, 18, 24, 0, 2, 5)","(12, 19, 20, 12, 16, 14, 15, 16)"
1,1,"(24, 20, 1, 11, 2, 10, 15, 19, 14, 4, 5, 12, 6)","(13, 13, 19, 11, 17, 12, 19, 19, 20, 14, 10, 13, 16)"
1,2,"(3, 8, 17, 23, 9, 18, 10, 11, 15, 12, 6, 16, 2, 24, 0, 5, 4, 14, 22)","(19, 14, 18, 20, 11, 20, 11, 12, 20, 16, 16, 14, 19, 17, 11, 19, 16, 17, 20)"
1,3,"(0, 8, 19, 10, 24, 9, 12, 16, 7, 17, 13, 15, 18, 22, 6, 11, 4, 5, 21, 20, 23, 14, 2)","(10, 16, 20, 18, 13, 13, 15, 13, 19, 11, 10, 11, 16, 11, 12, 15, 19, 10, 11, 16, 13, 19, 19)"
1,4,"(11, 6, 7, 16, 13, 0, 2, 1, 24, 3, 20, 5)","(14, 19, 10, 11, 13, 13, 13, 14, 14, 13, 17, 20)"
1,5,"(8, 24, 12, 20, 21, 9)","(16, 17, 20, 13, 20, 14)"
1,6,"(7, 1, 15, 4, 11, 3, 10, 16, 2, 13)","(18, 11, 14, 10, 19, 18, 14, 11, 10, 11)"
2,0,"(13, 14, 1, 20, 0, 24, 17, 12, 9, 7, 22, 21, 5, 11, 8)","(16, 17, 19, 13, 10, 11, 14, 18, 11, 11, 16, 10, 14, 19, 20)"
2,1,"(23, 12, 13, 19, 2, 18, 9, 20, 4, 15, 1, 8, 22, 24, 21, 17, 11, 14, 0, 7, 16, 6, 5, 3, 10)","(19, 20, 20, 11, 10, 10, 14, 20, 12, 10, 12, 18, 18, 16, 16, 11, 16, 18, 10, 11, 19, 19, 10, 13, 14)"
2,2,"(9, 10, 2, 20, 11, 21, 22, 14, 15)","(12, 11, 13, 14, 18, 15, 14, 18, 14)"
2,3,"(11, 15, 14, 7, 17, 8, 16, 18, 22, 0, 12, 1, 6, 2, 3, 24, 19, 20, 10, 21, 5, 9, 4, 23, 13)","(12, 10, 13, 15, 13, 11, 16, 10, 17, 19, 20, 11, 17, 19, 11, 13, 18, 16, 10, 11, 15, 17, 11, 11, 17)"
2,4,"(12, 14, 18, 11, 3, 1, 8, 17, 22, 10, 23, 2, 13)","(11, 13, 12, 11, 19, 20, 14, 10, 12, 14, 17, 20, 10)"
2,5,"(5, 2, 7, 23, 10, 19, 20, 15, 9, 18, 1, 6, 21, 24)","(12, 18, 18, 20, 11, 14, 11, 11, 12, 18, 17, 20, 14, 15)"
2,6,"(19, 15, 14, 22, 18, 6, 5, 9, 24, 17, 20, 8, 21, 1, 23, 7, 10, 16, 3, 2, 4, 13, 12, 11)","(12, 17, 11, 19, 13, 16, 17, 18, 15, 17, 16, 14, 16, 13, 19, 11, 13, 18, 11, 10, 20, 17, 14, 19)"
2,7,"(4, 1, 12, 2, 24, 5, 19, 0, 10, 13, 23)","(11, 20, 16, 11, 19, 14, 12, 13, 20, 12, 11)"
3,0,"(15, 22, 24, 8, 21, 4, 19, 5, 1, 9, 10, 17, 7, 18, 14, 23, 2, 16, 0, 3, 20, 12)","(15, 14, 10, 11, 13, 11, 15, 13, 15, 10, 16, 19, 20, 16, 20, 12, 16, 11, 16, 18, 14, 15)"
3,1,"(18, 6, 20, 9, 14, 5, 7, 0)","(15, 12, 15, 12, 20, 17, 14, 11)"
3,2,"(22, 15, 2, 13, 11, 18, 3, 1, 5, 7, 24)","(10, 12, 20, 15, 14, 17, 11, 17, 19, 18, 19)"
3,3,"(16, 13, 3, 22, 24, 23, 21)","(19, 14, 18, 18, 15, 16, 16)"
3,4,"(2, 7, 5, 11, 14, 17, 13, 23, 15, 21, 24, 10, 1, 22, 6, 4, 8, 19)","(19, 14, 18, 19, 19, 13, 10, 10, 15, 11, 19, 20, 15, 16, 17, 15, 20, 16)"
3,5,"(18, 5, 6, 24, 23, 15, 0, 9, 8, 20, 7, 13, 11, 21, 16, 3, 4, 1, 22)","(13, 15, 15, 18, 14, 12, 12, 17, 20, 11, 17, 12, 16, 16, 12, 20, 15, 16, 15)"
3,6,"(19, 4, 22, 18, 20, 23, 16, 12, 8, 15, 21, 17, 1, 0, 7, 9, 5, 24, 11, 10, 3, 6, 2)","(10, 14, 16, 10, 17, 10, 20, 10, 11, 14, 20, 14, 11, 13, 10, 16, 18, 20, 16, 12, 14, 10, 18)"
3,7,"(1, 10, 23, 9, 0, 12, 24, 19, 4, 7, 13, 11, 17, 18, 14, 5, 8, 2, 22, 16, 20, 3, 21)","(17, 11, 10, 10, 20, 16, 16, 18, 19, 10, 20, 14, 11, 17, 12, 18, 12, 10, 17, 16, 12, 13, 18)"
