kind,task,machine_selectable,process_time
0,0,"(21, 11, 3, 14, 12, 0, 25, 18, 10, 20, 5, 15, 29, 4, 26, 16, 6, 27, 8, 23, 17, 2)","(16, 19, 16, 17, 18, 19, 20, 17, 16, 10, 19, 18, 17, 13, 11, 12, 16, 17, 17, 13, 11, 19)"
0,1,"(2, 15, 12)","(12, 12, 17)"
0,2,"(5, 28, 7, 16, 3, 24, 0, 20, 29, 10, 14, 11)","(20, 16, 20, 10, 17, 15, 19, 18, 18, 19, 17, 20)"
0,3,"(21, 24, 20)","(18, 16, 15)"
0,4,"(16, 19, 11, 8, 14, 10, 1, 20, 2, 13, 3, 7, 23, 26)","(13, 20, 13, 20, 20, 19, 14, 13, 11, 19, 11, 20, 16, 15)"
0,5,"(26, 12, 18, 10, 13, 2, 7, 5, 9, 23, 25, 6, 17, 14, 1, 0, 22, 4, 8, 19, 28, 16, 21, 20)","(14, 13, 10, 18, 20, 19, 20, 15, 12, 13, 11, 12, 10, 12, 11, 19, 11, 15, 10, 15, 17, 16, 14, 14)"
0,6,"(3, 7, 22, 11, 9, 5, 18, 25, 27)","(19, 20, 17, 14, 17, 10, 10, 10, 12)"
0,7,"(5, 19, 25)","(16, 18, 17)"
1,0,"(5, 4, 13)","(16, 14, 14)"
1,1,"(14, 16, 2, 24, 20, 28, 18, 8, 6, 9, 25, 29, 4, 13, 26, 27, 22, 15, 19)","(18, 20, 16, 17, 16, 14, 19, 17, 19, 17, 14, 11, 16, 13, 16, 15, 16, 10, 14)"
1,2,"(28, 2, 0, 15, 18, 27, 22, 1, 8, 26, 10, 5, 9, 17, 25, 29, 3, 13, 7, 6, 4, 14, 21, 23, 11)","(15, 10, 10, 16, 13, 15, 15, 13, 17, 13, 10, 19, 16, 14, 19, 16, 19, 12, 17, 17, 11, 11, 20, 19, 20)"
1,3,"(1, 7, 2, 16, 11, 8, 13, 9, 6, 10, 4, 12, 24, 27, 5, 28, 19, 22, 0, 14, 23, 26, 15, 18, 25, 20, 3, 21, 17, 29)","(15, 12, 19, 16, 13, 15, 13, 10, 15, 19, 17, 10, 12, 15, 15, 11, 12, 18, 12, 17, 16, 20, 13, 16, 14, 13, 11, 15, 19, 14)"
1,4,"(21, 19, 1, 25, 16, 12, 9, 3, 10, 0, 24, 2, 6, 27, 15, 4, 8, 7, 26, 22, 17, 13)","(18, 19, 18, 19, 15, 19, 16, 15, 14, 16, 20, 16, 13, 14, 15, 14, 14, 13, 14, 14, 11, 14)"
2,0,"(23, 28, 13, 22, 18, 2, 9, 16, 17, 15, 6)","(19, 11, 16, 19, 19, 19, 13, 19, 13, 14, 14)"
