kind,task,machine_selectable,process_time
0,0,"(8, 16)","(17, 12)"
0,1,"(13,)","(14,)"
0,2,"(15, 16, 4)","(12, 13, 18)"
0,3,"(24, 2, 5, 12, 20, 0, 21)","(18, 14, 19, 16, 19, 16, 15)"
0,4,"(18, 9, 13, 5, 20, 3, 16, 1)","(13, 12, 18, 17, 11, 10, 11, 12)"
1,0,"(10, 1, 3, 18, 19, 12, 5, 8, 6, 9, 14, 16, 24, 13, 21, 17, 0)","(20, 12, 20, 16, 19, 11, 16, 16, 19, 17, 18, 14, 18, 10, 20, 11, 20)"
1,1,"(7, 24, 0, 8, 17, 13, 1, 11, 5, 2, 20, 22, 15, 10, 14, 23, 21, 4, 3, 19)","(18, 14, 20, 15, 11, 14, 16, 12, 17, 10, 14, 18, 12, 18, 11, 20, 14, 20, 18, 19)"
1,2,"(16,)","(13,)"
1,3,"(18, 15, 9, 17, 13, 5, 3, 22, 24, 10, 12, 7, 14, 4, 0, 2, 1, 6)","(12, 15, 12, 18, 18, 10, 19, 15, 17, 10, 11, 15, 14, 13, 10, 13, 19, 11)"
1,4,"(9, 12, 15, 6, 14, 24, 2)","(11, 17, 11, 18, 12, 12, 20)"
2,0,"(11, 4, 3, 23, 12, 5, 14, 13, 9, 22, 10, 17, 16, 1, 20, 15, 7, 0, 8, 21, 6, 19, 24)","(17, 18, 12, 14, 18, 19, 16, 13, 18, 13, 14, 16, 20, 20, 15, 17, 18, 17, 11, 13, 13, 11, 15)"
2,1,"(18, 20, 13, 17, 7, 22, 5, 3, 9, 14, 2, 12, 8, 6, 10, 21, 4, 11, 23, 0, 1)","(10, 19, 18, 13, 19, 13, 10, 11, 20, 10, 13, 11, 10, 15, 11, 18, 13, 14, 20, 17, 13)"
2,2,"(14, 22, 12, 6, 11, 4, 16, 9, 10, 0, 24, 8, 18, 23, 21, 1, 13, 17, 20, 15, 2, 19, 7)","(18, 12, 19, 19, 17, 13, 17, 16, 13, 11, 11, 20, 16, 15, 16, 16, 17, 10, 20, 20, 20, 11, 10)"
2,3,"(22, 21, 14, 19, 9, 8, 6, 3, 23, 4, 1, 24, 10, 7, 17, 2, 12, 20)","(16, 15, 11, 13, 13, 13, 18, 17, 12, 16, 12, 14, 17, 13, 11, 17, 18, 11)"
