order,time_arrive,time_delivery,kind_number
0,0,210,"(6, 9, 9, 5, 6, 10, 8, 7, 8, 10, 10)"
1,181,391,"(8, 7, 10, 7, 9, 5, 10, 8, 5, 9, 10)"
2,358,536,"(6, 8, 7, 9, 7, 6, 5, 5, 7, 9, 5)"
3,496,692,"(5, 9, 10, 9, 7, 5, 9, 7, 6, 6, 8)"
4,665,854,"(9, 8, 7, 5, 9, 6, 8, 6, 6, 10, 6)"
5,772,964,"(6, 9, 9, 9, 6, 5, 6, 8, 7, 7, 7)"
6,966,1164,"(8, 5, 5, 7, 5, 10, 10, 10, 7, 6, 9)"
7,1087,1285,"(9, 8, 10, 5, 7, 10, 5, 7, 6, 8, 8)"
8,1283,1483,"(8, 8, 10, 5, 9, 10, 5, 5, 10, 6, 8)"
9,1459,1632,"(5, 5, 6, 5, 9, 6, 7, 8, 8, 9, 5)"
