kind,task,machine_selectable,process_time
0,0,"(26, 13, 4, 35, 0, 3, 37, 34, 23, 20, 14, 21, 18, 22, 27, 32, 29, 16, 25, 36, 11, 15, 17, 28, 24, 19, 8, 5, 1, 31, 38, 12, 39, 30, 7, 2)","(12, 14, 17, 18, 17, 11, 12, 20, 15, 15, 12, 11, 13, 17, 16, 10, 13, 17, 15, 14, 18, 12, 11, 14, 15, 16, 15, 20, 20, 13, 12, 18, 16, 13, 12, 16)"
0,1,"(38, 28, 20, 23, 24, 19, 33, 39, 3, 16, 13, 25, 6, 35, 10, 8, 12, 18, 1)","(16, 16, 17, 18, 20, 15, 10, 17, 12, 10, 18, 11, 11, 15, 15, 16, 12, 16, 10)"
0,2,"(9, 30, 28)","(16, 10, 20)"
0,3,"(30, 6, 32, 24, 0, 26, 10, 25, 7, 38, 12, 22, 18, 13, 33, 29, 39, 23, 15, 28, 14, 16, 20, 21, 3, 11, 35, 34, 5, 27, 31, 36)","(20, 12, 19, 10, 20, 20, 18, 14, 16, 16, 20, 18, 14, 15, 15, 10, 14, 18, 19, 12, 16, 17, 20, 13, 18, 19, 19, 20, 17, 15, 20, 16)"
0,4,"(2, 35, 34, 16, 28, 22, 31, 4, 11, 3, 33, 38, 9, 17, 14, 8, 37, 13, 23, 19, 32, 21, 18, 29, 27, 5)","(13, 14, 11, 10, 18, 15, 16, 12, 18, 18, 14, 13, 11, 18, 18, 14, 18, 15, 20, 12, 10, 10, 18, 19, 14, 13)"
0,5,"(19, 34, 24, 15, 2, 36, 5, 11, 38, 20, 0, 29, 31, 14, 17, 1, 35, 33, 3, 21, 6, 9, 4, 22, 7, 10, 16, 18, 28, 25, 12, 23)","(14, 16, 18, 11, 10, 15, 14, 20, 18, 15, 11, 10, 20, 11, 17, 14, 19, 10, 17, 15, 13, 19, 19, 20, 20, 18, 19, 13, 15, 14, 14, 20)"
0,6,"(36, 35, 4, 25, 30, 31, 3, 37, 18, 29, 24, 9, 33, 34, 39, 7, 10, 13, 2, 14, 8, 12, 28, 20, 26, 16, 27, 0, 32, 15, 23, 6, 19)","(19, 20, 12, 16, 18, 13, 11, 15, 18, 19, 13, 15, 17, 11, 12, 16, 16, 11, 11, 10, 16, 12, 17, 13, 17, 11, 15, 20, 18, 16, 19, 18, 18)"
0,7,"(38, 36, 7, 20, 5, 30, 13, 24, 22, 28, 26, 19, 34, 16, 11, 27, 31, 21, 23, 32, 8, 6, 1, 17, 29, 9, 12, 2, 4, 35, 3, 18, 25, 37, 0, 10, 33, 39)","(16, 14, 19, 17, 20, 16, 17, 17, 16, 12, 12, 18, 12, 17, 17, 12, 18, 18, 11, 13, 17, 17, 10, 12, 18, 15, 11, 19, 16, 11, 11, 15, 19, 14, 10, 18, 12, 11)"
1,0,"(2, 35, 9, 11, 7, 6, 32, 14, 33, 5, 39, 8, 13, 1, 26, 16, 17, 38, 22, 3, 20, 28, 19, 37, 10, 23, 21, 30, 4, 36, 18, 25, 15, 24, 29, 34, 0, 12, 27, 31)","(15, 14, 15, 14, 14, 17, 10, 12, 12, 19, 16, 10, 14, 14, 13, 12, 17, 10, 11, 18, 15, 11, 10, 16, 17, 19, 14, 19, 17, 15, 16, 17, 19, 12, 12, 18, 20, 17, 17, 20)"
1,1,"(5, 9, 39, 20, 10, 31, 7, 22, 35, 23, 29, 32, 27, 12, 11, 3, 38, 17, 4, 21, 36, 24, 33, 19, 18, 14, 28, 6, 25, 2, 0, 26)","(17, 12, 15, 11, 19, 20, 19, 16, 16, 13, 16, 15, 18, 10, 20, 17, 14, 20, 11, 12, 10, 19, 20, 14, 18, 20, 11, 20, 18, 11, 13, 19)"
1,2,"(21, 7, 19, 34, 4, 20, 0, 18, 25, 26, 12, 29, 27, 33, 1)","(18, 19, 10, 19, 18, 13, 17, 18, 10, 11, 20, 18, 12, 10, 14)"
1,3,"(14, 28, 35, 29)","(13, 13, 19, 17)"
1,4,"(17, 0, 14, 26, 13, 8, 30, 31, 35, 21, 7, 19, 39, 15, 22, 18, 34, 28, 1, 3, 27, 11, 38, 16, 10, 36, 20, 23, 37, 25, 32, 12, 2, 5)","(11, 18, 19, 15, 16, 19, 10, 17, 10, 15, 16, 12, 16, 10, 18, 15, 16, 14, 11, 11, 11, 18, 12, 14, 12, 12, 14, 11, 12, 14, 16, 20, 12, 10)"
2,0,"(3, 13)","(19, 15)"
2,1,"(31, 4, 14, 2, 3, 23, 39, 37, 10, 18, 20, 30, 26, 19, 11, 7, 8, 9, 21, 35, 13, 24, 28, 1, 5, 16, 34, 36)","(12, 10, 10, 14, 16, 11, 15, 12, 16, 15, 14, 16, 11, 10, 13, 13, 19, 19, 13, 17, 18, 18, 16, 11, 14, 10, 15, 17)"
2,2,"(26, 7, 32, 35, 0, 10, 28, 31, 13, 17, 4, 11, 3, 33, 38, 29, 21, 16, 15, 39, 34, 23, 5, 2, 27, 25, 18, 30, 36, 37, 1, 19, 14, 8, 9, 20, 12)","(18, 16, 11, 17, 10, 16, 20, 13, 10, 14, 18, 19, 20, 11, 13, 18, 20, 12, 14, 19, 16, 17, 11, 20, 18, 13, 12, 15, 18, 12, 13, 18, 16, 18, 17, 10, 10)"
2,3,"(6, 20, 3, 18, 30, 4, 0, 37, 31, 38, 29, 19, 7, 27, 24, 5, 39, 36, 16, 34, 26)","(17, 19, 14, 20, 12, 10, 10, 17, 14, 19, 14, 20, 16, 15, 20, 13, 19, 18, 14, 10, 12)"
2,4,"(9, 33, 29, 28, 18, 32, 34, 21, 25, 24, 35, 14, 23, 15, 10, 17, 39, 4, 13, 1, 31, 6, 30, 2, 19, 7, 16, 12, 27, 3, 11, 38, 5, 26, 36, 0)","(18, 19, 11, 14, 11, 16, 11, 12, 18, 14, 16, 13, 19, 18, 15, 20, 15, 20, 14, 17, 14, 13, 20, 15, 15, 13, 17, 19, 15, 10, 12, 20, 10, 19, 17, 10)"
2,5,"(3, 7, 16, 10, 27)","(10, 20, 12, 16, 18)"
2,6,"(16, 24, 20, 2, 33, 21, 29, 22, 18, 5, 37, 0, 3, 1, 10, 28, 25, 34)","(17, 16, 18, 11, 20, 20, 11, 18, 10, 20, 17, 20, 11, 15, 16, 19, 15, 16)"
3,0,"(4, 35, 11, 3, 32, 9, 23, 2, 37, 5, 39, 8, 1, 7, 21, 30, 26, 36, 12, 6, 18, 19, 33, 27, 10, 29, 38)","(12, 10, 11, 17, 15, 13, 17, 10, 13, 10, 14, 20, 15, 13, 11, 19, 20, 14, 13, 13, 17, 15, 10, 14, 17, 19, 13)"
3,1,"(39, 12, 33, 29, 4, 35, 14, 1, 13, 22, 18, 21, 5, 8, 0, 37, 32, 17, 27, 34, 11, 7, 38, 2, 31, 6, 30, 16, 28, 25, 15)","(10, 13, 20, 16, 11, 14, 19, 18, 17, 12, 18, 13, 20, 19, 20, 20, 19, 19, 12, 11, 19, 12, 11, 12, 14, 19, 13, 18, 14, 13, 20)"
3,2,"(34, 17, 36, 27, 10, 22, 18, 35)","(10, 20, 18, 19, 14, 20, 18, 17)"
3,3,"(0, 33, 16, 15, 13, 8, 12, 27, 23, 39, 7, 20, 2, 9, 24, 6, 5, 25, 3, 21, 26, 19, 1, 32, 36, 17, 31, 28, 4, 38, 37, 14)","(10, 16, 20, 20, 20, 10, 15, 16, 16, 14, 11, 20, 18, 17, 17, 15, 18, 10, 13, 10, 14, 16, 18, 17, 15, 10, 16, 13, 15, 11, 19, 10)"
3,4,"(25, 28, 21, 0, 5, 1, 16, 19, 22, 32, 29, 36, 7, 17, 3, 4, 12, 33, 15, 18, 14, 26, 38, 31, 24, 30, 35, 27, 23, 39, 6, 20, 2, 11, 10, 37, 8, 34, 9, 13)","(13, 16, 11, 13, 13, 12, 15, 14, 11, 20, 20, 11, 10, 17, 16, 10, 19, 20, 15, 14, 13, 11, 17, 13, 15, 10, 15, 18, 13, 11, 19, 19, 17, 11, 20, 17, 19, 11, 11, 10)"
4,0,"(8, 37, 23, 20, 31, 29, 0, 35, 9, 19, 10, 26, 27, 17, 15, 7, 4, 18, 36, 25, 24, 38, 34)","(10, 16, 15, 11, 12, 10, 17, 10, 14, 19, 20, 16, 11, 11, 20, 10, 18, 10, 14, 16, 16, 11, 19)"
4,1,"(34, 14, 37, 2, 5, 29, 11, 30, 16, 8, 25, 38, 19, 1, 15, 0, 4, 18, 3, 24, 36, 12, 35, 31, 7, 23, 32, 13, 17)","(16, 13, 19, 20, 19, 10, 17, 16, 17, 16, 19, 19, 11, 15, 20, 20, 10, 17, 18, 15, 19, 13, 11, 11, 10, 19, 11, 19, 13)"
4,2,"(31, 33, 26, 12, 0, 22, 5, 38, 23, 29, 34, 39, 36, 8, 16, 21, 28, 1, 13, 20, 35, 32, 7, 10, 15, 18, 19, 25)","(19, 12, 20, 18, 14, 15, 16, 17, 19, 17, 12, 13, 12, 10, 10, 12, 14, 19, 16, 18, 20, 15, 14, 19, 18, 12, 12, 17)"
4,3,"(30, 23)","(14, 19)"
4,4,"(34, 3, 15, 21, 27, 29, 23, 33, 30, 12, 38)","(15, 14, 15, 10, 18, 19, 20, 20, 12, 10, 13)"
5,0,"(27, 1, 6, 29, 3, 22, 17, 11, 33, 24, 38, 10, 2, 36, 21, 34, 26, 7, 13)","(18, 18, 10, 16, 15, 13, 13, 20, 13, 11, 15, 13, 20, 17, 17, 19, 15, 19, 19)"
5,1,"(4, 16, 2, 31, 20, 14, 33, 35, 28, 23, 18, 1, 39)","(15, 19, 14, 16, 15, 12, 11, 17, 10, 17, 13, 10, 20)"
5,2,"(1, 3, 0, 9, 17, 38, 33, 28, 5, 35, 6, 16, 2, 36, 18, 34, 21, 23, 10, 39, 31, 25, 20, 29, 12, 24, 13, 15, 7, 22, 8)","(13, 13, 17, 19, 13, 13, 17, 15, 16, 13, 16, 12, 10, 15, 10, 11, 15, 10, 18, 11, 12, 14, 17, 13, 20, 19, 15, 10, 10, 13, 13)"
5,3,"(25, 4, 24, 2, 14, 39, 1, 10, 29, 0, 6, 12, 13, 33, 28, 3, 8, 20, 5, 30, 18, 23, 35)","(14, 12, 13, 14, 12, 15, 18, 13, 12, 13, 10, 12, 14, 11, 10, 20, 12, 16, 20, 11, 15, 13, 14)"
5,4,"(30, 14, 12, 16, 0, 37, 39, 18, 1, 22, 6, 2, 3, 26, 32, 27, 13, 36, 8, 35, 28, 38, 20, 11, 23, 9, 10, 21, 19)","(17, 13, 15, 15, 20, 12, 18, 19, 16, 11, 11, 12, 12, 13, 13, 18, 16, 15, 15, 19, 16, 20, 13, 10, 19, 19, 13, 18, 14)"
5,5,"(23, 30, 21, 25, 15, 36, 28, 20, 13, 18, 35, 7, 0, 4, 37)","(12, 15, 13, 10, 20, 14, 12, 18, 19, 17, 13, 11, 17, 20, 19)"
5,6,"(14, 38, 24, 1, 31, 25, 35, 12, 37, 27, 2, 34, 8, 10, 36, 26, 39, 29, 21, 28, 33, 32, 30, 23, 19, 4, 20, 3, 16, 0, 22, 13, 6)","(11, 12, 18, 16, 20, 18, 15, 17, 18, 17, 12, 15, 15, 18, 17, 17, 17, 14, 19, 16, 20, 19, 20, 10, 13, 13, 13, 17, 13, 16, 13, 14, 16)"
5,7,"(20, 21, 8, 26, 19, 9, 13, 7, 5, 17, 2, 16, 36, 18, 0)","(16, 19, 12, 15, 14, 18, 11, 12, 11, 14, 17, 18, 15, 13, 19)"
5,8,"(20, 7, 13, 26, 39, 19, 27, 32, 2, 11, 14, 30, 29, 12, 15, 21, 10, 9, 17, 33, 31, 22, 0, 8, 36, 4, 24, 16, 34, 37, 3, 35, 1, 28, 38, 18, 6, 25)","(10, 17, 18, 19, 15, 16, 17, 17, 16, 16, 15, 17, 15, 14, 16, 10, 12, 17, 13, 14, 20, 11, 15, 11, 14, 18, 18, 18, 20, 11, 14, 13, 11, 11, 11, 15, 10, 18)"
5,9,"(26, 11, 14, 33, 32, 9, 8, 15, 2, 10, 23, 38, 7, 17, 31, 18, 27, 13, 0, 37, 6, 29)","(13, 15, 13, 20, 15, 14, 14, 20, 14, 13, 19, 12, 18, 14, 10, 14, 14, 15, 16, 16, 19, 20)"
6,0,"(34, 20, 5, 38, 22, 29, 37, 1, 39, 31, 3, 6, 8, 33, 0, 7, 27, 10, 19, 11, 28, 15, 30, 16, 18, 14, 2, 23, 13, 24, 36, 35, 25, 4, 32, 12, 26, 21, 17)","(10, 17, 20, 18, 12, 16, 13, 13, 13, 17, 13, 18, 19, 18, 17, 17, 15, 11, 15, 13, 16, 16, 13, 17, 17, 18, 10, 15, 12, 19, 12, 14, 10, 17, 20, 15, 15, 13, 16)"
