kind,task,machine_selectable,process_time
0,0,"(10, 25, 0, 14, 9, 6, 23)","(13, 19, 19, 20, 17, 19, 19)"
0,1,"(8, 0, 28, 10, 5, 16, 13, 9, 20, 27, 17, 6, 1)","(12, 17, 11, 20, 15, 16, 10, 13, 13, 18, 20, 17, 18)"
0,2,"(7, 6, 18, 24, 2, 20, 21, 25, 28, 26, 5, 17, 0, 3, 4, 22, 11, 9, 15, 14, 16, 8, 23)","(18, 20, 15, 12, 18, 15, 20, 18, 19, 18, 16, 18, 20, 11, 18, 14, 13, 19, 17, 16, 13, 10, 19)"
0,3,"(0, 21, 11, 26, 5, 18, 24, 23, 3, 1, 16, 6, 9, 29, 15, 20, 4)","(10, 20, 10, 17, 13, 17, 19, 14, 19, 19, 19, 20, 14, 14, 15, 17, 20)"
0,4,"(5, 19, 15, 26, 18, 3, 12, 11, 29, 27, 23, 22, 13, 28, 21, 4, 1, 7, 25, 6)","(20, 20, 14, 14, 14, 11, 10, 17, 16, 19, 12, 16, 12, 16, 20, 15, 14, 20, 13, 14)"
0,5,"(22, 29, 12, 0, 3, 5, 4, 1, 6, 15, 24, 28, 8, 7, 11, 19, 10, 13, 9, 16, 17, 14, 23, 26, 21)","(17, 15, 19, 11, 16, 10, 14, 13, 15, 19, 20, 18, 13, 19, 18, 15, 20, 20, 19, 10, 17, 19, 19, 16, 15)"
0,6,"(21, 29, 7, 10, 22, 3, 6, 26, 9, 13, 5, 12, 1)","(18, 15, 17, 18, 13, 20, 17, 15, 16, 20, 18, 11, 16)"
1,0,"(3, 16)","(17, 18)"
1,1,"(16,)","(14,)"
1,2,"(7, 25, 4, 22, 5, 10, 19, 12, 8, 23, 29, 1, 18, 20, 17, 2, 13, 15, 28, 21, 11, 16, 27, 26, 9, 24, 6, 0, 14, 3)","(13, 14, 20, 10, 17, 13, 10, 17, 20, 20, 11, 20, 17, 17, 16, 11, 20, 20, 13, 15, 20, 10, 20, 20, 10, 17, 18, 18, 13, 16)"
1,3,"(22, 11, 4, 8, 6, 21, 24, 5, 7, 0, 16, 20, 17, 12, 28, 27, 2)","(19, 12, 12, 13, 13, 18, 15, 14, 10, 13, 13, 16, 19, 19, 19, 15, 12)"
1,4,"(18, 13, 21, 16, 17, 2, 14)","(18, 15, 20, 10, 12, 13, 11)"
1,5,"(7, 4, 9, 2, 21, 13, 19, 22, 5)","(12, 20, 16, 15, 13, 12, 17, 13, 15)"
1,6,"(1, 25, 13, 7, 19, 16, 20, 9, 21, 4, 27, 18, 22, 10, 6)","(20, 15, 11, 14, 19, 17, 12, 14, 19, 10, 13, 12, 12, 13, 14)"
1,7,"(19, 20, 12, 22, 26, 27, 14, 11, 4, 7, 3, 15, 2, 17)","(17, 17, 11, 14, 16, 19, 15, 10, 19, 13, 15, 15, 15, 15)"
1,8,"(14, 23, 25, 26, 12, 5, 8, 1, 20, 4, 2, 10, 28, 3, 13, 6, 22, 17, 19, 24, 27, 7)","(17, 10, 12, 10, 10, 16, 11, 17, 14, 11, 13, 16, 14, 14, 15, 19, 14, 17, 16, 11, 12, 11)"
1,9,"(21, 8, 14, 5, 16, 20, 25, 6, 23, 11, 2, 22, 27, 19, 7, 15, 28, 24, 4, 9, 17, 12, 10, 26)","(18, 19, 13, 20, 19, 11, 20, 12, 17, 20, 10, 16, 15, 10, 17, 16, 11, 12, 12, 12, 18, 20, 13, 20)"
2,0,"(11, 10, 27)","(20, 10, 15)"
2,1,"(21, 24, 28, 3, 5)","(16, 14, 14, 16, 18)"
2,2,"(11, 10, 16, 21, 19, 28, 27, 22, 13, 6, 23, 0, 25, 24, 20, 12, 15, 29, 2, 3, 14, 9)","(15, 13, 20, 10, 14, 15, 15, 15, 15, 19, 15, 10, 12, 16, 13, 15, 16, 10, 17, 17, 17, 18)"
2,3,"(8, 5, 24, 17, 16, 26, 7, 3, 29, 14, 10, 6, 20, 2, 23, 25, 19)","(19, 20, 14, 13, 13, 20, 12, 17, 16, 13, 19, 19, 10, 14, 20, 16, 10)"
2,4,"(2, 15, 27, 22, 21, 1, 20, 23, 0, 26, 24, 7, 25, 6, 13, 8, 11, 4, 9, 18, 28)","(10, 18, 12, 13, 16, 19, 16, 20, 12, 16, 19, 10, 12, 20, 12, 12, 10, 19, 17, 15, 15)"
2,5,"(21, 16, 9, 8, 17, 11, 6, 12, 20, 13, 2, 23, 27, 26, 14, 29, 15, 19, 22)","(20, 10, 16, 11, 17, 19, 10, 16, 20, 17, 10, 11, 15, 20, 11, 12, 10, 10, 13)"
