kind,task,machine_selectable,process_time
0,0,"(28, 20, 13, 18, 25, 21, 36, 27, 16, 32)","(12, 16, 13, 14, 18, 18, 18, 12, 13, 17)"
0,1,"(1, 16, 39, 10, 20, 14, 12, 21, 9, 0, 36, 15, 18, 31, 29, 3)","(20, 12, 15, 14, 14, 12, 12, 20, 15, 13, 15, 11, 11, 17, 18, 20)"
0,2,"(13, 2, 16, 25, 35, 10, 14, 32, 24, 22)","(18, 12, 18, 10, 15, 10, 13, 14, 15, 15)"
0,3,"(35, 1, 36, 19, 6, 25, 16, 20, 13)","(13, 18, 18, 12, 18, 17, 12, 10, 14)"
0,4,"(9, 35, 18, 26, 32, 19, 3, 16)","(17, 16, 17, 16, 16, 16, 10, 18)"
0,5,"(25,)","(12,)"
0,6,"(38, 28, 25, 23, 22, 30, 4, 11, 34, 18, 2, 37, 7, 20, 13, 3, 35, 0, 24, 12, 26, 1, 32, 6, 10, 14, 33, 8, 29, 39, 27, 31, 17, 21, 36, 16, 5, 15, 19)","(18, 18, 17, 14, 15, 18, 17, 11, 20, 12, 10, 20, 17, 15, 13, 11, 20, 13, 16, 18, 15, 19, 13, 11, 15, 12, 16, 12, 11, 20, 20, 10, 17, 14, 11, 14, 14, 13, 10)"
1,0,"(38, 33, 31, 25, 28, 11)","(20, 11, 10, 16, 11, 14)"
1,1,"(11, 6, 7, 39, 37, 38, 32, 2, 34, 3)","(14, 15, 12, 19, 19, 16, 14, 15, 17, 14)"
1,2,"(25, 4, 5, 6, 21, 18, 1, 9, 13, 32, 30, 37, 15, 39, 38, 35, 36, 20, 11, 7, 10, 16, 22, 2, 0, 31, 8, 23, 26, 24, 17, 34, 27, 33, 19, 14, 12, 29)","(14, 13, 13, 11, 19, 19, 17, 11, 11, 20, 15, 13, 13, 13, 14, 19, 17, 12, 19, 16, 19, 17, 10, 11, 10, 10, 13, 20, 14, 13, 14, 14, 19, 19, 17, 15, 18, 15)"
1,3,"(39, 14, 35, 1, 11, 38, 12, 2, 10, 32, 8, 37, 25, 20, 9, 33, 24, 22)","(18, 16, 20, 11, 18, 18, 18, 11, 17, 18, 16, 10, 12, 11, 15, 19, 19, 12)"
1,4,"(27, 15, 24, 32, 2, 37, 28, 22, 21, 38, 31, 25, 6, 11, 9, 20, 5)","(17, 19, 14, 13, 17, 16, 13, 18, 12, 17, 14, 19, 10, 13, 13, 11, 12)"
1,5,"(12, 2, 10, 19, 9, 26, 11, 37, 31, 33, 23, 22, 25, 4, 30)","(12, 12, 13, 19, 15, 14, 18, 10, 17, 10, 14, 17, 13, 20, 11)"
1,6,"(30, 35, 2, 16, 17, 29, 9)","(14, 18, 13, 16, 18, 17, 14)"
1,7,"(27, 33, 12, 24, 39, 17, 18, 8, 37, 16, 25, 14, 30, 2, 29, 35, 7, 9)","(17, 17, 17, 14, 10, 17, 10, 13, 16, 16, 16, 15, 16, 10, 10, 20, 17, 16)"
2,0,"(10, 36, 16, 33, 39)","(12, 12, 18, 12, 11)"
2,1,"(3, 1, 32, 0, 24, 33, 22, 11, 16, 5, 21, 23, 18, 25, 12, 9, 20, 10)","(12, 20, 20, 18, 12, 11, 19, 13, 18, 16, 18, 12, 17, 18, 14, 17, 12, 16)"
2,2,"(5, 16)","(14, 13)"
2,3,"(36, 37, 29, 26, 19, 8, 4, 10, 7, 22, 12, 14, 28, 15, 9, 13, 5, 24, 30, 32, 16, 11, 1, 33, 18, 0, 35, 39, 27, 25, 21, 6, 38, 17, 34)","(19, 13, 13, 10, 14, 15, 20, 19, 16, 19, 12, 20, 10, 16, 16, 20, 16, 10, 14, 18, 15, 13, 11, 12, 13, 14, 20, 14, 13, 15, 18, 14, 19, 18, 11)"
2,4,"(39, 7, 37, 27, 36, 35, 25, 24, 26, 0, 12, 21, 8, 22, 4, 34, 29, 5, 18, 28, 6, 10, 3, 19, 1, 32, 20, 33, 31, 9, 17, 16)","(11, 18, 20, 14, 16, 15, 11, 12, 14, 12, 11, 10, 16, 13, 17, 18, 20, 11, 17, 10, 14, 18, 13, 16, 14, 20, 18, 11, 11, 16, 15, 19)"
3,0,"(35, 1, 9, 5, 0, 2, 10, 17, 39, 25, 37, 24, 28, 34, 18, 20, 7, 15, 11, 8, 19, 3, 31, 32, 14, 27, 13, 22, 21, 30, 36, 23, 33)","(15, 15, 18, 20, 15, 19, 14, 12, 11, 19, 13, 17, 19, 13, 11, 13, 16, 13, 16, 15, 19, 17, 12, 17, 16, 17, 16, 18, 17, 17, 17, 15, 19)"
3,1,"(6, 20, 4, 8, 11, 39, 30, 32, 23, 15, 37, 3, 10, 7, 26)","(13, 15, 18, 16, 11, 13, 14, 11, 17, 14, 19, 11, 19, 15, 13)"
3,2,"(35, 19, 7, 5, 15, 10, 29, 28, 27, 2, 39, 37, 36, 14, 21, 22, 18)","(18, 10, 18, 20, 18, 14, 12, 16, 17, 12, 13, 13, 19, 19, 10, 20, 17)"
3,3,"(12, 37, 20, 15, 39, 28, 6, 2, 16, 19, 11, 23, 7)","(16, 11, 15, 10, 10, 11, 11, 11, 13, 19, 11, 15, 14)"
